1,5.984,126620,264,14.542,0.098360656,0.019,0.052377115,0.016962207,1740
2,7.978,143532,385.319,18.766,0.131147541,0.213,0.065269944,0.024657779,1906
3,3.993,17808,64.275,5.154,0.06557377,0.009,0.02256245,0.013335734,518
4,2.994,31668,49.441,4.932,0.049180328,0.002,0.023368251,0.009627335,864
5,0.998,4752,3.679,0.613,0.016393443,0,0.00886382,0.005079102,392
6,3.992,38160,79.952,6.14,0.06557377,0.004,0.029008864,0.014434748,914
7,5.984,108612,263.373,13.504,0.098360656,0.029,0.050765512,0.020063144,1626
8,4.989,51040,154.89,10.165,0.081967213,0.118,0.035455278,0.01564572,976
9,5.984,134680,271.121,14.172,0.098360656,0.022,0.052377115,0.017095255,1830
10,6.981,129024,338.98,15.706,0.114754098,0.021,0.058017728,0.023470216,1742
11,4.989,56304,162.912,10.41,0.081967213,0.016,0.037066882,0.015105624,1060
12,0.998,4752,3.679,0.613,0.016393443,0,0.00886382,0.005079102,392
13,0.998,5544,3.679,0.614,0.016393443,0,0.00886382,0.004834672,392
14,7.977,174408,435.405,19.033,0.131147541,0.053,0.069298952,0.026169926,2092
15,11.955,625824,1009.979,36.666,0.196721311,0.062,0.128122482,0.03213703,4578
16,6.981,157096,328.268,16.287,0.114754098,0.033,0.058823529,0.019878694,1856
17,5.981,222768,342,16.197,0.098360656,0.003,0.062852538,0.01662311,2448
18,8.974,179304,491.413,19.257,0.147540984,0.114,0.074939565,0.031741123,2328
19,6.979,234952,406,18.812,0.114754098,0.015,0.069298952,0.019390898,2444
20,3.992,33460,100,8.116,0.06557377,0.013,0.028203062,0.012930942,800
21,8.973,252904,518.242,23.557,0.147540984,0.103,0.081385979,0.024636468,2508
22,5.981,224992,348,16.322,0.098360656,0.013,0.06365834,0.016934973,2502
23,0.998,3720,3.311,0.583,0.016393443,0,0.008058018,0.005417443,326
24,2.993,44200,60.189,5.351,0.049180328,0.042,0.02739726,0.009861996,1104
25,5.982,206668,336,16.067,0.098360656,0.007,0.062046737,0.016901708,2400
26,2.995,14536,43.346,3.918,0.049180328,0.002,0.018533441,0.011508034,534
27,2.995,12936,41.197,3.835,0.049180328,0.004,0.017727639,0.011213416,474
28,4.989,45236,108.818,7.976,0.081967213,0.029,0.034649476,0.017135508,982
29,4.988,67620,170,11.117,0.081967213,0.067,0.039484287,0.014845201,1204
30,8.972,276624,528.465,22.837,0.147540984,0.066,0.082191781,0.026452436,2712
31,4.99,39196,130,10.164,0.081967213,0.033,0.033037873,0.015302368,820
32,0.998,3720,3.311,0.583,0.016393443,0,0.008058018,0.005417443,326
33,2.995,14256,27.291,2.688,0.049180328,0.033,0.017727639,0.013313929,528
34,9.966,448056,746.963,27.475,0.163934426,0.057,0.101531023,0.028416738,3596
35,4.987,103248,152.184,8.786,0.081967213,0.033,0.043513296,0.015916761,1678
36,0.998,4080,3.311,0.585,0.016393443,0,0.008058018,0.00491751,326
37,6.981,156584,343.576,16.011,0.114754098,0.248,0.059629331,0.020612335,1988
38,10.96,576828,944.034,32.733,0.180327869,0.139,0.118452861,0.029868955,4330
39,7.977,227128,450.406,19.102,0.131147541,0.045,0.071716358,0.023934211,2446
40,1.996,12768,16.429,2.225,0.032786885,0.071,0.015310234,0.007766174,550
41,7.975,288120,496,22.029,0.131147541,0.143,0.078968574,0.021963069,2824
42,4.987,87696,195,11.692,0.081967213,0.023,0.043513296,0.016144656,1426
43,5.986,71064,207.495,12.775,0.098360656,0.029,0.043513296,0.017615864,1140
44,6.979,212544,404.537,16.692,0.114754098,0.063,0.066075745,0.021686544,2486
45,3.992,39168,84.724,6.156,0.06557377,0.012,0.029008864,0.012828387,890
46,10.96,521664,860.055,33.045,0.180327869,0.041,0.115229654,0.029507137,4036
47,1.997,4416,11.188,1.503,0.032786885,0.003,0.009669621,0.008824553,256
48,5.986,81168,216,13.526,0.098360656,0.023,0.045930701,0.017337285,1284
49,0.998,3760,3.311,0.583,0.016393443,0,0.008058018,0.005263258,326
50,1.998,2640,11.165,1.225,0.032786885,0.001,0.008058018,0.00887543,166
51,6.977,282992,448,19.611,0.114754098,0.033,0.074133763,0.019227658,2876
52,9.969,282960,595.189,22.392,0.163934426,0.085,0.087026591,0.031292342,2852
53,3.989,84224,148,9.479,0.06557377,0.019,0.037872683,0.012070151,1484
54,1.997,5460,13.188,1.559,0.032786885,0.001,0.010475423,0.008179721,280
55,6.981,133444,315,17.029,0.114754098,0.099,0.058823529,0.021659452,1766
56,1.996,14480,17.456,2.285,0.032786885,0.001,0.016116035,0.007492839,616
57,1.997,5148,11.893,1.723,0.032786885,0,0.010475423,0.008329736,262
58,8.974,190256,487.766,20.278,0.147540984,0.084,0.075745367,0.030108941,2292
59,0.998,3204,2.943,0.557,0.016393443,0,0.007252216,0.004962247,266
60,4.988,75264,175.934,10.775,0.081967213,0.02,0.039484287,0.014765351,1270
61,0.999,352,2.15,0.25,0.016393443,0,0.003223207,0.006192111,56
62,2.995,17296,31.541,2.758,0.049180328,0.014,0.018533441,0.011037303,624
